src_ts,recv_ts,latency_ms
2025-09-10 21:13:53.540786+00:00,2025-09-10 21:13:53.544393+00:00,3.6069999999999998
2025-09-10 21:13:56.551306+00:00,2025-09-10 21:13:56.555412+00:00,4.106
2025-09-10 21:13:59.561823+00:00,2025-09-10 21:13:59.566124+00:00,4.301
2025-09-10 21:14:02.572415+00:00,2025-09-10 21:14:02.575702+00:00,3.287
2025-09-10 21:14:05.582911+00:00,2025-09-10 21:14:05.584613+00:00,1.702
2025-09-10 21:14:08.593243+00:00,2025-09-10 21:14:08.597191+00:00,3.948
2025-09-10 21:14:11.603764+00:00,2025-09-10 21:14:11.608065+00:00,4.301
2025-09-10 21:14:14.614273+00:00,2025-09-10 21:14:14.618770+00:00,4.497
2025-09-10 21:14:17.624789+00:00,2025-09-10 21:14:18.121093+00:00,496.30400000000003
2025-09-10 21:14:20.635216+00:00,2025-09-10 21:14:20.636591+00:00,1.375
2025-09-10 21:14:23.645491+00:00,2025-09-10 21:14:23.649382+00:00,3.891
2025-09-10 21:14:26.655935+00:00,2025-09-10 21:14:26.659684+00:00,3.749
2025-09-10 21:14:29.666471+00:00,2025-09-10 21:14:29.671760+00:00,5.289000000000001
2025-09-10 21:14:32.677042+00:00,2025-09-10 21:14:32.681448+00:00,4.406000000000001
2025-09-10 21:14:35.687727+00:00,2025-09-10 21:14:35.691597+00:00,3.87
2025-09-10 21:14:38.698208+00:00,2025-09-10 21:14:38.700706+00:00,2.4979999999999998
2025-09-10 21:14:41.708536+00:00,2025-09-10 21:14:41.711807+00:00,3.271
2025-09-10 21:14:44.719042+00:00,2025-09-10 21:14:44.723044+00:00,4.002000000000001
2025-09-10 21:14:47.729451+00:00,2025-09-10 21:14:48.121175+00:00,391.724
2025-09-10 21:14:50.739887+00:00,2025-09-10 21:14:50.743555+00:00,3.6679999999999997
